user_id,current_streak,longest_streak,streak_length,last_active_date,streak_start_date,total_active_days
100102,1,7,1,2025-11-29,2025-11-28,16
100103,7,14,7,2025-11-27,2025-11-20,13
100104,22,79,22,2025-12-23,2025-12-01,195
100105,19,35,19,2025-12-19,2025-11-30,80
100106,5,8,5,2025-12-12,2025-12-07,18
100107,25,169,25,2025-12-31,2025-12-06,155
100108,21,39,21,2025-12-24,2025-12-03,113
100109,21,85,21,2025-12-17,2025-11-26,212
100110,0,7,0,2025-08-05,2025-08-05,17
100111,0,4,0,2025-07-16,2025-07-16,0
100112,11,22,11,2025-12-29,2025-12-18,36
100113,24,30,24,2025-12-28,2025-12-04,83
100114,29,176,29,2025-12-17,2025-11-18,308
100115,2,10,2,2025-08-22,2025-08-20,25
100116,1,8,1,2025-09-21,2025-09-20,3
100117,21,59,21,2025-12-28,2025-12-07,138
100118,5,21,5,2025-12-02,2025-11-27,17
100119,5,29,5,2025-11-23,2025-11-18,44
100120,77,89,77,2025-12-17,2025-10-01,245
100121,3,21,3,2025-12-12,2025-12-09,18
100122,16,33,16,2025-12-21,2025-12-05,40
100123,7,27,7,2025-12-17,2025-12-10,67
100124,23,43,23,2025-12-20,2025-11-27,72
100125,47,103,47,2025-12-22,2025-11-05,259
100126,17,40,17,2025-12-29,2025-12-12,101
100127,44,63,44,2025-12-21,2025-11-07,126
100128,1,7,1,2025-07-15,2025-07-14,4
100129,1,10,1,2025-10-05,2025-10-04,5
100130,8,19,8,2025-11-28,2025-11-20,50
100131,11,75,11,2025-12-27,2025-12-16,77
100132,47,127,47,2025-12-20,2025-11-03,50
100133,0,8,0,2025-09-30,2025-09-30,4
100134,0,4,0,2025-07-10,2025-07-10,9
100135,63,93,63,2025-12-17,2025-10-15,123
100136,13,78,13,2025-12-20,2025-12-07,32
100137,68,172,68,2025-12-20,2025-10-13,271
100138,1,20,1,2025-12-01,2025-11-30,44
100139,6,30,6,2025-11-22,2025-11-16,40
100140,80,156,80,2025-12-24,2025-10-05,224
100141,23,59,23,2025-12-18,2025-11-25,56
100142,20,52,20,2025-12-17,2025-11-27,24
100143,18,85,18,2025-12-24,2025-12-06,238
100144,0,4,0,2025-10-24,2025-10-24,12
100145,25,65,25,2025-12-19,2025-11-24,147
100146,10,89,10,2025-12-26,2025-12-16,204
100147,23,61,23,2025-12-23,2025-11-30,142
100148,2,12,2,2025-12-10,2025-12-08,28
100149,19,83,19,2025-12-18,2025-11-29,22
100150,22,68,22,2025-12-17,2025-11-25,127
100151,0,9,0,2025-08-28,2025-08-28,11
100152,6,8,6,2025-12-13,2025-12-07,24
100153,14,85,14,2025-12-17,2025-12-03,239
100154,25,32,25,2025-12-29,2025-12-04,64
100155,42,117,42,2025-12-17,2025-11-05,314
100156,22,25,22,2025-12-20,2025-11-28,49
100157,12,87,12,2025-12-27,2025-12-15,95
100158,1,5,1,2025-12-05,2025-12-04,12
100159,19,56,19,2025-12-27,2025-12-08,32
100160,25,39,25,2025-12-31,2025-12-06,89
100161,39,62,39,2025-12-18,2025-11-09,133
100162,2,10,2,2025-12-08,2025-12-06,4
100163,22,80,22,2025-12-17,2025-11-25,129
100164,1,5,1,2025-08-19,2025-08-18,11
100165,1,5,1,2025-07-04,2025-07-03,7
100166,79,79,79,2025-12-26,2025-10-08,213
100167,12,83,12,2025-12-22,2025-12-10,177
100168,6,22,6,2025-11-20,2025-11-14,48
100169,18,26,18,2025-12-31,2025-12-13,44
100170,26,95,26,2025-12-24,2025-11-28,134
100171,0,3,0,2025-09-24,2025-09-24,2
100172,2,29,2,2025-11-25,2025-11-23,76
100173,9,87,9,2025-12-20,2025-12-11,194
100174,5,26,5,2025-12-20,2025-12-15,23
100175,7,22,7,2025-12-09,2025-12-02,42
100176,48,59,48,2025-12-17,2025-10-30,174
100177,51,98,51,2025-12-28,2025-11-07,123
100178,14,68,14,2025-12-23,2025-12-09,88
100179,25,85,25,2025-12-27,2025-12-02,138
100180,9,26,9,2025-12-28,2025-12-19,63
100181,2,28,2,2025-11-23,2025-11-21,42
100182,8,28,8,2025-12-22,2025-12-14,11
100183,1,9,1,2025-07-25,2025-07-24,23
100184,67,114,67,2025-12-23,2025-10-17,213
100185,10,26,10,2025-12-25,2025-12-15,34
100186,12,84,12,2025-12-22,2025-12-10,125
100187,0,8,0,2025-07-21,2025-07-21,8
100188,11,40,11,2025-12-21,2025-12-10,55
100189,66,66,66,2025-12-25,2025-10-20,184
100190,15,50,15,2025-12-25,2025-12-10,28
100191,14,49,14,2025-12-25,2025-12-11,20
100192,14,79,14,2025-12-20,2025-12-06,229
100193,20,56,20,2025-12-22,2025-12-02,124
100194,2,5,2,2025-11-10,2025-11-08,15
100195,19,43,19,2025-12-23,2025-12-04,41
100196,2,4,2,2025-07-24,2025-07-22,9
100197,2,5,2,2025-12-13,2025-12-11,5
100198,23,180,23,2025-12-19,2025-11-26,206
100199,0,5,0,2025-09-05,2025-09-05,14
100200,6,6,6,2025-12-04,2025-11-28,17
100201,0,6,0,2025-09-05,2025-09-05,6
100202,2,5,2,2025-11-30,2025-11-28,3
100203,6,24,6,2025-12-19,2025-12-13,55
100204,33,162,33,2025-12-27,2025-11-24,160
100205,9,56,9,2025-12-21,2025-12-12,136
100206,17,64,17,2025-12-24,2025-12-07,70
100207,20,24,20,2025-12-22,2025-12-02,59
100208,39,85,39,2025-12-31,2025-11-22,190
100209,12,25,12,2025-12-30,2025-12-18,68
100210,2,5,2,2025-10-21,2025-10-19,11
100211,25,88,25,2025-12-22,2025-11-27,57
100212,2,25,2,2025-11-17,2025-11-15,39
100213,18,56,18,2025-12-25,2025-12-07,166
100214,25,57,25,2025-12-18,2025-11-23,71
100215,0,3,0,2025-10-26,2025-10-26,2
100216,2,4,2,2025-11-30,2025-11-28,10
100217,5,30,5,2025-11-30,2025-11-25,49
100218,4,10,4,2025-11-26,2025-11-22,22
100219,32,59,32,2025-12-27,2025-11-25,144
100220,8,59,8,2025-12-24,2025-12-16,151
100221,1,5,1,2025-07-26,2025-07-25,5
100222,7,29,7,2025-12-22,2025-12-15,83
100223,11,83,11,2025-12-20,2025-12-09,225
100224,4,21,4,2025-11-28,2025-11-24,56
100225,74,135,74,2025-12-19,2025-10-06,80
100226,4,22,4,2025-12-03,2025-11-29,63
100227,18,35,18,2025-12-30,2025-12-12,102
100228,2,7,2,2025-08-06,2025-08-04,3
100229,45,132,45,2025-12-29,2025-11-14,288
100230,1,10,1,2025-09-05,2025-09-04,10
100231,75,75,75,2025-12-27,2025-10-13,160
100232,43,75,43,2025-12-23,2025-11-10,168
100233,1,28,1,2025-11-20,2025-11-19,84
100234,5,12,5,2025-11-24,2025-11-19,19
100235,23,64,23,2025-12-22,2025-11-29,168
100236,35,129,35,2025-12-21,2025-11-16,188
100237,1,6,1,2025-10-10,2025-10-09,2
100238,17,39,17,2025-12-21,2025-12-04,96
100239,1,17,1,2025-12-14,2025-12-13,50
100240,2,20,2,2025-12-18,2025-12-16,18
100241,9,79,9,2025-12-22,2025-12-13,237
100242,8,25,8,2025-12-12,2025-12-04,63
100243,24,34,24,2025-12-29,2025-12-05,72
100244,1,6,1,2025-08-15,2025-08-14,3
100245,12,65,12,2025-12-31,2025-12-19,92
100246,6,9,6,2025-11-23,2025-11-17,22
100247,8,39,8,2025-12-21,2025-12-13,71
100248,11,58,11,2025-12-25,2025-12-14,38
100249,2,23,2,2025-11-27,2025-11-25,54
100250,12,65,12,2025-12-20,2025-12-08,116
100251,18,63,18,2025-12-30,2025-12-12,97
100252,5,19,5,2025-12-17,2025-12-12,18
100253,73,73,73,2025-12-23,2025-10-11,205
100254,23,64,23,2025-12-22,2025-11-29,151
100255,2,2,2,2025-11-21,2025-11-19,2
100256,2,8,2,2025-08-17,2025-08-15,6
100257,54,78,54,2025-12-27,2025-11-03,206
100258,21,82,21,2025-12-22,2025-12-01,43
100259,13,30,13,2025-12-19,2025-12-06,54
100260,0,10,0,2025-07-29,2025-07-29,10
100261,2,5,2,2025-08-22,2025-08-20,12
100262,0,6,0,2025-11-13,2025-11-13,16
100263,9,39,9,2025-12-31,2025-12-22,95
100264,31,179,31,2025-12-20,2025-11-19,128
100265,5,20,5,2025-11-20,2025-11-15,45
100266,7,24,7,2025-12-13,2025-12-06,31
100267,7,7,7,2025-12-19,2025-12-12,20
100268,0,7,0,2025-11-02,2025-11-02,5
100269,7,27,7,2025-12-06,2025-11-29,38
100270,55,171,55,2025-12-30,2025-11-05,265
100271,7,30,7,2025-12-14,2025-12-07,32
100272,24,37,24,2025-12-17,2025-11-23,51
100273,8,21,8,2025-12-06,2025-11-28,49
100274,0,4,0,2025-07-22,2025-07-22,11
100275,50,83,50,2025-12-27,2025-11-07,212
100276,58,58,58,2025-12-26,2025-10-29,101
100277,75,150,75,2025-12-25,2025-10-11,317
100278,5,8,5,2025-11-24,2025-11-19,12
100279,10,87,10,2025-12-25,2025-12-15,39
100280,6,29,6,2025-11-30,2025-11-24,33
100281,8,14,8,2025-11-25,2025-11-17,13
100282,21,53,21,2025-12-24,2025-12-03,64
100283,8,10,8,2025-12-17,2025-12-09,10
100284,22,79,22,2025-12-19,2025-11-27,129
100285,9,47,9,2025-12-20,2025-12-11,73
100286,1,10,1,2025-07-22,2025-07-21,18
100287,4,10,4,2025-11-23,2025-11-19,11
100288,67,118,67,2025-12-22,2025-10-16,239
100289,16,71,16,2025-12-24,2025-12-08,95
100290,23,40,23,2025-12-23,2025-11-30,43
100291,26,130,26,2025-12-19,2025-11-23,133
100292,7,12,7,2025-11-23,2025-11-16,22
100293,8,11,8,2025-12-18,2025-12-10,12
100294,16,44,16,2025-12-19,2025-12-03,79
100295,6,18,6,2025-11-21,2025-11-15,41
100296,3,25,3,2025-12-02,2025-11-29,35
100297,10,52,10,2025-12-30,2025-12-20,114
100298,57,150,57,2025-12-24,2025-10-28,67
100299,70,164,70,2025-12-24,2025-10-15,252
100300,1,5,1,2025-10-01,2025-09-30,3
100301,0,8,0,2025-11-22,2025-11-22,15
100302,12,45,12,2025-12-31,2025-12-19,86
100303,1,30,1,2025-12-22,2025-12-21,34
100304,7,18,7,2025-12-10,2025-12-03,23
100305,36,92,36,2025-12-18,2025-11-12,133
100306,56,101,56,2025-12-29,2025-11-03,214
100307,19,44,19,2025-12-26,2025-12-07,62
100308,0,6,0,2025-08-22,2025-08-22,10
100309,4,27,4,2025-12-01,2025-11-27,5
100310,0,10,0,2025-08-07,2025-08-07,20
100311,0,2,0,2025-09-15,2025-09-15,1
100312,15,75,15,2025-12-19,2025-12-04,86
100313,9,22,9,2025-12-29,2025-12-20,57
100314,60,92,60,2025-12-26,2025-10-27,220
100315,1,28,1,2025-11-27,2025-11-26,18
100316,2,5,2,2025-11-17,2025-11-15,10
100317,9,86,9,2025-12-23,2025-12-14,99
100318,6,28,6,2025-12-07,2025-12-01,82
100319,80,141,80,2025-12-22,2025-10-03,269
100320,0,6,0,2025-11-17,2025-11-17,18
100321,0,9,0,2025-07-12,2025-07-12,12
100322,0,3,0,2025-11-12,2025-11-12,3
100323,5,21,5,2025-11-17,2025-11-12,49
100324,1,10,1,2025-09-06,2025-09-05,9
100325,68,70,68,2025-12-19,2025-10-12,206
100326,4,11,4,2025-11-22,2025-11-18,31
100327,9,73,9,2025-12-28,2025-12-19,26
100328,2,2,2,2025-10-07,2025-10-05,3
100329,3,13,3,2025-11-19,2025-11-16,34
100330,1,8,1,2025-09-18,2025-09-17,19
100331,5,25,5,2025-12-03,2025-11-28,33
100332,19,41,19,2025-12-18,2025-11-29,115
100333,7,13,7,2025-11-26,2025-11-19,32
100334,57,158,57,2025-12-29,2025-11-02,348
100335,2,6,2,2025-10-20,2025-10-18,3
100336,0,3,0,2025-11-18,2025-11-18,4
100337,24,35,24,2025-12-26,2025-12-02,75
100338,7,17,7,2025-12-03,2025-11-26,23
100339,10,62,10,2025-12-31,2025-12-21,29
100340,8,44,8,2025-12-30,2025-12-22,118
100341,5,24,5,2025-12-04,2025-11-29,6
100342,14,28,14,2025-12-30,2025-12-16,52
100343,29,92,29,2025-12-29,2025-11-30,274
100344,71,111,71,2025-12-26,2025-10-16,169
100345,11,21,11,2025-12-24,2025-12-13,22
100346,0,9,0,2025-08-21,2025-08-21,1
100347,2,10,2,2025-10-22,2025-10-20,10
100348,15,88,15,2025-12-20,2025-12-05,213
100349,8,8,8,2025-11-27,2025-11-19,21
100350,18,70,18,2025-12-30,2025-12-12,178
100351,0,3,0,2025-08-28,2025-08-28,0
100352,15,46,15,2025-12-25,2025-12-10,99
100353,2,3,2,2025-07-21,2025-07-19,9
100354,56,63,56,2025-12-30,2025-11-04,128
100355,2,6,2,2025-08-07,2025-08-05,7
100356,39,175,39,2025-12-25,2025-11-16,99
100357,0,4,0,2025-07-17,2025-07-17,8
100358,25,87,25,2025-12-30,2025-12-05,225
100359,38,148,38,2025-12-26,2025-11-18,79
100360,19,60,19,2025-12-21,2025-12-02,88
100361,8,25,8,2025-12-05,2025-11-27,69
100362,13,53,13,2025-12-28,2025-12-15,159
100363,6,23,6,2025-12-24,2025-12-18,61
100364,10,26,10,2025-12-30,2025-12-20,34
100365,15,66,15,2025-12-21,2025-12-06,125
100366,1,15,1,2025-12-03,2025-12-02,41
100367,10,53,10,2025-12-17,2025-12-07,61
100368,3,20,3,2025-12-20,2025-12-17,24
100369,41,141,41,2025-12-31,2025-11-20,58
100370,1,6,1,2025-08-25,2025-08-24,17
100371,18,79,18,2025-12-29,2025-12-11,130
100372,1,16,1,2025-12-23,2025-12-22,37
100373,3,19,3,2025-11-27,2025-11-24,36
100374,6,12,6,2025-11-19,2025-11-13,36
100375,9,28,9,2025-12-22,2025-12-13,29
100376,26,137,26,2025-12-29,2025-12-03,189
100377,1,19,1,2025-12-24,2025-12-23,16
100378,11,44,11,2025-12-26,2025-12-15,132
100379,11,86,11,2025-12-31,2025-12-20,201
100380,5,12,5,2025-12-22,2025-12-17,32
100381,3,24,3,2025-11-25,2025-11-22,53
100382,8,48,8,2025-12-17,2025-12-09,25
100383,11,50,11,2025-12-18,2025-12-07,46
100384,21,30,21,2025-12-18,2025-11-27,61
100385,19,47,19,2025-12-31,2025-12-12,140
100386,19,58,19,2025-12-27,2025-12-08,69
100387,66,66,66,2025-12-23,2025-10-18,91
100388,12,59,12,2025-12-22,2025-12-10,45
100389,0,6,0,2025-10-11,2025-10-11,18
100390,3,15,3,2025-11-29,2025-11-26,3
100391,0,2,0,2025-10-23,2025-10-23,1
100392,5,11,5,2025-12-23,2025-12-18,25
100393,19,83,19,2025-12-26,2025-12-07,25
100394,16,60,16,2025-12-20,2025-12-04,129
100395,64,92,64,2025-12-17,2025-10-14,133
100396,8,53,8,2025-12-25,2025-12-17,145
100397,15,35,15,2025-12-30,2025-12-15,53
100398,6,27,6,2025-12-06,2025-11-30,75
100399,5,19,5,2025-11-26,2025-11-21,48
100400,16,50,16,2025-12-20,2025-12-04,87
100401,19,56,19,2025-12-22,2025-12-03,144
100402,9,37,9,2025-12-17,2025-12-08,47
100403,15,59,15,2025-12-27,2025-12-12,40
100404,1,4,1,2025-07-09,2025-07-08,8
100405,3,29,3,2025-12-14,2025-12-11,78
100406,60,98,60,2025-12-24,2025-10-25,77
100407,63,97,63,2025-12-27,2025-10-25,102
100408,14,90,14,2025-12-22,2025-12-08,88
100409,7,11,7,2025-11-26,2025-11-19,29
100410,16,76,16,2025-12-17,2025-12-01,172
100411,1,22,1,2025-11-23,2025-11-22,17
100412,6,21,6,2025-11-21,2025-11-15,48
100413,4,30,4,2025-11-23,2025-11-19,9
100414,22,88,22,2025-12-29,2025-12-07,225
100415,22,110,22,2025-12-19,2025-11-27,24
100416,78,141,78,2025-12-29,2025-10-12,105
100417,11,20,11,2025-12-25,2025-12-14,38
100418,24,88,24,2025-12-25,2025-12-01,229
100419,3,16,3,2025-12-04,2025-12-01,40
100420,69,166,69,2025-12-18,2025-10-10,165
100421,10,79,10,2025-12-18,2025-12-08,140
100422,7,7,7,2025-11-30,2025-11-23,7
100423,66,135,66,2025-12-28,2025-10-23,181
100424,2,20,2,2025-12-14,2025-12-12,15
100425,14,63,14,2025-12-24,2025-12-10,131
100426,8,68,8,2025-12-23,2025-12-15,43
100427,1,5,1,2025-11-29,2025-11-28,3
100428,44,99,44,2025-12-20,2025-11-06,135
100429,8,13,8,2025-12-12,2025-12-04,29
100430,2,25,2,2025-11-19,2025-11-17,65
100431,66,66,66,2025-12-23,2025-10-18,119
100432,11,72,11,2025-12-28,2025-12-17,148
100433,78,136,78,2025-12-21,2025-10-04,356
100434,1,7,1,2025-08-21,2025-08-20,9
100435,18,66,18,2025-12-30,2025-12-12,77
100436,42,62,42,2025-12-21,2025-11-09,146
100437,24,32,24,2025-12-17,2025-11-23,95
100438,6,9,6,2025-12-16,2025-12-10,19
100439,8,84,8,2025-12-29,2025-12-21,42
100440,5,28,5,2025-12-21,2025-12-16,69
100441,8,8,8,2025-12-07,2025-11-29,11
100442,2,4,2,2025-08-22,2025-08-20,3
100443,6,12,6,2025-12-09,2025-12-03,13
100444,0,8,0,2025-09-10,2025-09-10,11
100445,2,2,2,2025-08-31,2025-08-29,6
100446,2,21,2,2025-12-10,2025-12-08,61
100447,5,29,5,2025-12-05,2025-11-30,5
100448,16,36,16,2025-12-22,2025-12-06,88
100449,5,16,5,2025-11-16,2025-11-11,26
100450,23,36,23,2025-12-19,2025-11-26,60
100451,2,2,2,2025-09-29,2025-09-27,5
100452,2,15,2,2025-11-23,2025-11-21,7
100453,16,66,16,2025-12-25,2025-12-09,18
100454,18,86,18,2025-12-20,2025-12-02,131
100455,13,49,13,2025-12-30,2025-12-17,14
100456,2,6,2,2025-11-20,2025-11-18,12
100457,6,24,6,2025-12-17,2025-12-11,65
100458,19,73,19,2025-12-20,2025-12-01,161
100459,8,24,8,2025-11-20,2025-11-12,12
100460,9,52,9,2025-12-27,2025-12-18,59
100461,64,130,64,2025-12-18,2025-10-15,186
100462,25,78,25,2025-12-22,2025-11-27,178
100463,11,20,11,2025-12-29,2025-12-18,43
100464,18,23,18,2025-12-17,2025-11-29,42
100465,18,60,18,2025-12-31,2025-12-13,19
100466,58,142,58,2025-12-29,2025-11-01,138
100467,25,52,25,2025-12-23,2025-11-28,123
100468,7,23,7,2025-12-12,2025-12-05,29
100469,8,22,8,2025-12-01,2025-11-23,23
100470,39,161,39,2025-12-19,2025-11-10,252
100471,20,85,20,2025-12-27,2025-12-07,204
100472,11,22,11,2025-12-25,2025-12-14,30
100473,9,59,9,2025-12-27,2025-12-18,169
100474,19,73,19,2025-12-28,2025-12-09,113
100475,9,52,9,2025-12-27,2025-12-18,138
100476,2,4,2,2025-08-24,2025-08-22,6
100477,6,23,6,2025-11-25,2025-11-19,53
100478,5,16,5,2025-12-15,2025-12-10,17
100479,0,4,0,2025-10-07,2025-10-07,3
100480,6,14,6,2025-11-27,2025-11-21,13
100481,23,31,23,2025-12-30,2025-12-07,76
100482,74,105,74,2025-12-17,2025-10-04,289
100483,20,65,20,2025-12-23,2025-12-03,63
100484,8,22,8,2025-12-18,2025-12-10,16
100485,1,6,1,2025-07-23,2025-07-22,11
100486,2,6,2,2025-09-29,2025-09-27,17
100487,10,24,10,2025-12-20,2025-12-10,59
100488,3,13,3,2025-12-24,2025-12-21,28
100489,18,34,18,2025-12-28,2025-12-10,76
100490,3,23,3,2025-11-28,2025-11-25,36
100491,20,83,20,2025-12-18,2025-11-28,20
100492,22,74,22,2025-12-28,2025-12-06,46
100493,10,83,10,2025-12-30,2025-12-20,83
100494,75,93,75,2025-12-21,2025-10-07,277
100495,9,34,9,2025-12-20,2025-12-11,47
100496,2,12,2,2025-12-23,2025-12-21,29
100497,21,21,21,2025-12-21,2025-11-30,55
100498,48,141,48,2025-12-24,2025-11-06,270
100499,15,60,15,2025-12-22,2025-12-07,38
100500,25,116,25,2025-12-18,2025-11-23,260
